blogger_id,age,is_teen,gender,job,n_posts,avg_word_len,first_person_rate,school_token_rate,birthday_token_rate,exclaim_rate,slang_emoji_rate,keyword_teen_flag
B1005545,25,False,male,Engineering,3,4.850198412698412,0.02182539682539682,0.0,0.0,0.001982205669356507,0.0,0
B1015252,23,False,female,indUnk,3,4.399335232668566,0.028869895536562204,0.011111111111111112,0.0,0.0024359934491527515,0.0,1
B1016560,41,False,male,Publishing,3,4.58179012345679,0.018518518518518517,0.0,0.0,0.0,0.0,0
B1019622,24,False,female,indUnk,3,4.121689155422289,0.08479093786440113,0.0,0.0,0.007430555555555556,0.014492753623188406,0
B1045831,23,False,male,Student,3,4.014139613676639,0.06676021029227215,0.00186219739292365,0.0,0.0,0.0,1
B1050060,24,False,female,Student,3,3.610071446169007,0.097620103473762,0.0,0.0,0.002820670143504789,0.0,0
B1051122,17,True,female,Student,3,4.491292000180889,0.02115407226518338,0.007326007326007327,0.0,0.0038214554665571307,0.0,1
B1054833,24,False,female,indUnk,3,4.204561879461273,0.09212290262554605,0.0,0.0,0.001763235628266303,0.0,0
B1056232,17,True,female,indUnk,3,3.9896536212325686,0.10208030962747944,0.0,0.0,0.0011074197120708748,0.0,0
B105748,26,False,female,Student,3,4.361489137716528,0.03981959996171882,0.0,0.010390946502057614,0.007121820615796519,0.0,1
B1060087,27,False,male,Arts,3,4.162731999069894,0.01782408247722075,0.0,0.0,0.0011111111111111111,0.0,0
B106738,25,False,male,Internet,3,3.945690883190883,0.029914529914529916,0.0,0.0,0.004128912023648866,0.009882478632478632,0
B1070326,24,False,male,Government,3,3.903807969826951,0.06675739481946998,0.0,0.0,0.0005757052389176741,0.0,0
B1084668,15,True,female,Student,3,4.435820190206155,0.03346328784925276,0.0,0.0,0.04092616026035165,0.0,0
B1084944,26,False,female,Arts,3,4.177894677066862,0.06388327456208251,0.0,0.007575757575757576,0.004074074074074075,0.0,1
B1090235,17,True,female,indUnk,3,3.8490512017393734,0.07136568211837029,0.0,0.0,0.005925925925925926,0.005329138662471995,0
B1092346,16,True,female,indUnk,3,3.769864519644809,0.13699864236147205,0.0,0.0,0.0,0.0,0
B1093691,17,True,male,Technology,3,4.042980828695114,0.02039270253555968,0.0,0.0,0.008347625106804113,0.007568027210884354,0
B1102011,15,True,male,Student,3,3.903703703703704,0.12202982202982203,0.009331409331409331,0.0,0.003562002399389247,0.006060606060606061,1
B1104980,23,False,male,Sports-Recreation,3,4.121212121212121,0.018726591760299626,0.0,0.0,0.0047390720346920795,0.0,0
B1107975,17,True,male,Student,3,3.956684077694716,0.06608032804841316,0.0,0.0,0.01079986365510934,0.0,0
B1111991,33,False,female,indUnk,3,4.09886602468806,0.05813921849452471,0.0,0.0,0.0014814814814814814,0.0,0
B1113692,25,False,female,Non-Profit,3,4.088411003320641,0.02984448616978738,0.0,0.0,0.00037037037037037035,0.0,0
B1119650,23,False,female,Student,3,3.797720797720798,0.025641025641025644,0.0,0.0,0.0,0.0,0
B112265,23,False,female,indUnk,3,3.9169404892296456,0.11150576331299222,0.008032128514056226,0.0,0.001965811965811966,0.0,1
B1125373,17,True,male,Student,3,4.134930818169685,0.0895588082632617,0.0,0.0,0.0,0.0,0
B1130595,16,True,male,indUnk,3,3.896198538439917,0.0580888770543943,0.003968253968253968,0.0,0.0007407407407407407,0.0,1
B1131329,13,True,male,indUnk,3,3.7961775878442547,0.03157644824311491,0.0,0.0,0.008053310382677243,0.0,0
B1132409,41,False,female,indUnk,3,3.8616616616616617,0.13413413413413414,0.0,0.0,0.002283950617283951,0.0024691358024691358,0
B1135804,33,False,male,indUnk,3,4.035320716070841,0.09329970383718221,0.0,0.0,0.00037037037037037035,0.0,0
B1138306,17,True,female,indUnk,3,4.033599520545027,0.08229745881033514,0.0,0.0,0.0,0.0,0
B1142598,24,False,male,indUnk,3,4.343933950391751,0.03681545081800836,0.0,0.011904761904761904,0.002172682236376504,0.0196078431372549,1
B1143104,23,False,male,Student,3,4.211697799916979,0.00202020202020202,0.0,0.0,0.0018901660280970626,0.006666666666666667,0
B114645,17,True,male,Student,3,3.9753747493829574,0.06228910168718651,0.0,0.0,0.009307334084307657,0.0,0
B1155029,17,True,female,Student,1,4.4,0.12,0.0,0.0,0.0,0.0,0
B1157658,25,False,male,indUnk,3,4.0604251355013545,0.13784439927732609,0.0,0.0,0.008291873963515755,0.0,0
B1164965,16,True,male,Student,3,4.695285931724288,0.05203739943465971,0.0,0.0,0.006699086939261612,0.0,0
B1173156,24,False,male,indUnk,3,4.192922520517457,0.03792192804851033,0.0019047619047619048,0.0,0.005584231501016741,0.004219409282700422,1
B1180158,23,False,male,Consulting,3,3.939199524646505,0.09173897133584197,0.013344653430860326,0.0,0.0025925925925925925,0.0,1
B1185193,17,True,female,Student,3,4.169694032728192,0.09481409012782704,0.009929179825820653,0.0,0.0044444444444444444,0.0,1
B1195073,15,True,female,Student,3,4.115312794495437,0.060194060390121734,0.0,0.0,0.027518771618999408,0.0,0
B1205193,15,True,female,indUnk,3,3.7240150630485758,0.10301183305222084,0.0,0.0,0.0024855060944393276,0.01391450889298809,0
B1207055,15,True,male,Arts,3,4.260109507431145,0.03341360429246437,0.0,0.0,0.0007407407407407407,0.0,0
B1231380,15,True,male,indUnk,3,3.998094248094248,0.06409626409626411,0.0,0.006410256410256411,0.006197064060206193,0.0,1
B1231400,24,False,female,indUnk,3,4.133819245765296,0.06586373259462534,0.0,0.0,0.0011185682326621924,0.0,0
B1233335,25,False,male,BusinessServices,3,4.059857944602769,0.06678103594820259,0.0,0.0,0.0,0.0,0
B1234709,17,True,female,Student,3,4.12942612942613,0.07495590828924162,0.0,0.0,0.0044444444444444444,0.037037037037037035,0
B1239610,17,True,male,indUnk,3,4.0856222477096695,0.04904705265989834,0.0,0.0,0.0,0.008771929824561403,0
B1242619,15,True,female,Arts,3,3.6933551198257084,0.0664488017429194,0.0,0.0,0.019204477484405708,0.004901960784313725,0
B1242759,16,True,female,Arts,3,4.351100985137129,0.03798527443105756,0.0,0.0,0.0024449877750611247,0.02314814814814815,0
B1255416,17,True,male,Student,3,4.307428662521919,0.06040969233221744,0.005300494181412402,0.0,0.0015461493239271016,0.0,1
B1259179,15,True,female,Student,3,4.07815167233841,0.08110318168302111,0.009746588693957114,0.0,0.0,0.0030864197530864196,1
B1274852,27,False,female,indUnk,3,4.067499906408881,0.04426620978270133,0.0,0.0,0.003687283342455756,0.0019267822736030828,0
B1278138,26,False,female,Education,3,5.161307767944936,0.022910521140609635,0.0,0.0,0.0008159934720522235,0.0,0
B1280497,26,False,male,Technology,3,4.288888888888889,0.05555555555555555,0.0,0.0,0.014034220427892668,0.0,0
B1281160,24,False,male,Technology,3,3.9512690671768826,0.0722718532264948,0.0,0.0,0.0,0.0,0
B1283465,24,False,female,indUnk,3,4.062731481481481,0.0983813700918964,0.0,0.0020833333333333333,0.0007824016847502632,0.0,1
B1289910,17,True,male,indUnk,3,4.04277503357379,0.06939432032970584,0.0018416206261510127,0.0,0.0011111111111111111,0.0020576131687242796,1
B1309251,23,False,male,Technology,3,4.0445325676414,0.07927029637899771,0.0,0.0,0.0022222222222222222,0.0,0
B1315210,23,False,male,Student,3,4.011225520971011,0.06708327826240197,0.0026041666666666665,0.0,0.0032373379181889817,0.0,1
B1316855,25,False,male,Arts,3,4.365552208835342,0.05504016064257028,0.0,0.0,0.005626477541371158,0.0,0
B132894,26,False,female,indUnk,3,4.36509743077907,0.0458072651437994,0.0,0.0,0.0006802721088435375,0.0,0
B1330002,13,True,male,indUnk,3,4.43974358974359,0.05128205128205129,0.0,0.0,0.0,0.0,0
B1334247,17,True,female,Student,3,3.9240641711229944,0.09309764309764311,0.011497326203208556,0.0,0.001851851851851852,0.0,1
B1335479,37,False,male,Religion,3,4.386512180629828,0.005050505050505051,0.0,0.0,0.0,0.0,0
B133604,23,False,female,indUnk,3,3.8330272261211484,0.09097394896698284,0.007366482504604051,0.0,0.001851851851851852,0.0018115942028985507,1
B1360300,34,False,male,Tourism,3,3.8261714753427456,0.09985676284018825,0.0018416206261510127,0.0,0.003968253968253968,0.018518518518518517,1
B1361398,26,False,female,indUnk,1,4.425925925925926,0.04938271604938271,0.0,0.0,0.0022222222222222222,0.0,0
B1363719,36,False,female,Education,3,4.33961545614391,0.046397173192669235,0.0,0.0,0.0014814814814814814,0.0020833333333333333,0
B1365227,27,False,male,indUnk,3,5.214714714714714,0.0,0.0,0.0,0.007131198995605776,0.0,0
B1365875,27,False,female,indUnk,3,3.934425612052731,0.03653483992467044,0.0,0.01103578154425612,0.0024315120542432143,0.0022222222222222222,1
B1379288,35,False,female,HumanResources,3,4.205460489311943,0.06582984151589281,0.0,0.0,0.0037271380033253813,0.0020964360587002098,0
B1380515,40,False,male,indUnk,3,4.366524182358993,0.04483077840365274,0.0,0.0,0.0007407407407407407,0.0,0
B1390907,37,False,female,Telecommunications,3,4.228926618157607,0.06410361281526926,0.0,0.007751937984496124,0.0008703220191470844,0.0,1
B1392379,25,False,female,indUnk,3,3.8970839751328703,0.09539135894980781,0.002178649237472767,0.0,0.00658970658970659,0.002178649237472767,1
B1393814,13,True,female,indUnk,3,4.246031746031746,0.012499999999999999,0.0,0.0,0.001488124896196645,0.0,0
B1394735,38,False,male,Technology,3,4.228578381303952,0.041474848515981176,0.0,0.0,0.0,0.0,0
B1396260,23,False,female,indUnk,3,3.7179049992349227,0.09424164922886151,0.002331002331002331,0.0,0.0,0.013697867917816768,1
B1404301,24,False,female,Student,3,4.126454209990325,0.0591947899503244,0.0,0.0,0.0069044690446904465,0.0,0
B1405870,26,False,female,indUnk,3,3.9113346104725415,0.08155902207626346,0.0,0.0,0.002178649237472767,0.0,0
B1407268,23,False,male,indUnk,3,4.09909842542909,0.0746468969540953,0.0,0.0,0.002962962962962963,0.0,0
